n.louvainGlobalComponentId,size(collect(n.wikiID)),collect(n.wikiID),collect(n.en)
62017,38,"[Q68833,Q181078,Q183605,Q408386,Q106410,Q209402,Q188721,Q846303,Q41716,Q180256,Q851587,Q161081,Q133163,Q183257,Q35865,Q477415,Q119380,Q179232,Q79785,Q213185,Q484511,Q11483816,Q11642,Q33226,Q652122,Q843958,Q132814,Q484284,Q213901,Q194152,Q180507,Q11538,Q974135,Q622821,Q333016,Q208099,Q243570,Q11034]","[bone fracture,lucid dream,blood transfusion,inference,triple point,nuclear magnetic resonance,annihilation,biogeochemical cycle,boiling,booting,business process,deflation,percussion instrument,psychotherapy,inflation,amputation,gentrification,interior design,electrocardiography,stoichiometry,inductive reasoning,annual event,pottery,speech-language pathology,sewing,digitization,evaporation,deductive reasoning,gene therapy,parsing,radiation therapy,mathematical proof,chemotherapy,calculation,King's Day,coming out,light therapy,printing]"
1289803,38,"[Q169930,Q144334,Q14001,Q101333,Q222910,Q190660,Q191134,Q7397,Q482994,Q11023,Q184793,Q339042,Q77590,Q223638,Q1068473,Q134574,Q11468,Q208163,Q81235,Q341,Q676202,Q291,Q5633421,Q128758,Q191431,Q43035,Q1349130,Q13442814,Q44494,Q83588,Q104954,Q1750812,Q273383,Q146326,Q173142,Q19541,Q4489420,Q159236]","[extended play,printing press,malware,mechanical engineering,compilation album,anti-lock braking system,centrifuge,software,album,engineering,computer-aided design,stealth technology,civil engineering,guide book,educational technology,pump,nanotechnology,signal processing,automated teller machine,free software,system software,pornography,scientific journal,satire,Mandala,electrical engineering,geotechnical engineering,scholarly article,mill,chemical engineering,radio-frequency identification,ergonomics,memento mori,environmental engineering,digital signal processing,search engine,industrial engineering,genetic engineering]"
292980,38,"[Q215414,Q11435,Q7873,Q45621,Q165199,Q214609,Q45701,Q744,Q427457,Q255722,Q40050,Q28823,Q184296,Q50998618,Q13085,Q6185405,Q663,Q11432,Q193692,Q26717101,Q181790,Q273831,Q211748,Q104085,Q42962,Q40157,Q206615,Q219803,Q33526,Q8492,Q8076,Q941818,Q42278,Q36133,Q11469,Q11464,Q43436,Q102078]","[foam,liquid,blood,ceramic,chili pepper,material,waste,nickel,cooking oil,vapor,drink,textile,tapestry,feather,sandstone,alluvium,aluminium,gas,electric car,conductor,composite material,apron,oil field,asbestos,oil,lava,building material,plywood,stucco,juice,video game console,handheld game console,magma,soil,glass,plough,pearl,bauxite]"
143183,37,"[Q174219,Q2356542,Q189567,Q7946,Q5447188,Q170409,Q185744,Q79529,Q184651,Q161179,Q181394,Q2294,Q11474,Q40867,Q212553,Q131656,Q186209,Q185716,Q41354,Q174211,Q3706669,Q34956,Q879,Q162908,Q162657,Q190065,Q211036,Q43533,Q127418,Q185056,Q200656,Q381490,Q745930,Q133948,Q83323,Q102205,Q194270]","[paint,chemical reagents,food additive,mineral,solution,functional group,gel,chemical substance,toxin,pigment,nutrient,proton,plastic,poison,melamine,pesticide,tar,manure,vinegar,organic compound,psychoactive drug,vitamin,bromine,electrolyte,neurotransmitter,inorganic compound,stimulant,crystal,ink,radical,diuretic,aerogel,nucleophile,antioxidant,fertilizer,fluid,hallucinogen]"
523153,35,"[Q170435,Q206159,Q486415,Q58339,Q187760,Q263734,Q1298934,Q484641,Q20502,Q485395,Q217467,Q208494,Q487914,Q207591,Q11365,Q188450,Q131578,Q49451,Q188539,Q189045,Q10922,Q719927,Q327547,Q178145,Q105513,Q38848,Q217191,Q484344,Q7749,Q57143,Q188534,Q236932,Q83270,Q131272,Q193355]","[trance,psychedelic rock,symphonic metal,disco,new wave,nu metal,synth-pop,pop rock,house music,gothic rock,art rock,industrial metal,pop punk,Romantic music,grunge,electropop,J-pop,progressive rock,glam metal,Britpop,hardcore punk,symphonic rock,cool jazz,gothic metal,bebop,heavy metal,soft rock,progressive metal,rock and roll,power metal,grindcore,acid rock,hard rock,soul music,blues rock]"
638373,34,"[Q39816,Q1620908,Q23442,Q107425,Q101998,Q34763,Q188734,Q148319,Q170321,Q822530,Q188800,Q271669,Q6256,Q1681353,Q839954,Q50081,Q41253,Q16817,Q5871,Q11292,Q46831,Q35509,Q56061,Q105880,Q134851,Q47844,Q4188,Q46169,Q160091,Q184358,Q131183,Q75520,Q183366,Q193110]","[valley,historical region,island,landscape,biome,peninsula,sinkhole,planetarium,wetland,no-fly zone,personal union,landform,country,bog,archaeological site,red giant,movie theater,karst,white dwarf,coral reef,mountain range,cave,administrative territorial entity,fumarole,continental shelf,landscape architecture,superluminous supernova,national park,plain,reef,cabaret,plateau,territory,floodplain]"
62134,34,"[Q11426,Q713,Q37756,Q716,Q1123,Q753,Q1234,Q124291,Q19588,Q551997,Q2846150,Q1046,Q5321,Q1087,Q1226,Q1089,Q1090,Q3195517,Q743,Q211367,Q178150,Q941,Q1249,Q483269,Q37077,Q1053,Q1038,Q1096,Q722,Q1252,Q569,Q1054,Q1232,Q1119]","[metal,scandium,alloy,titanium,tantalum,copper,seaborgium,electrical conductor,transition metal,wire,can,niobium,resistor,rhodium,rutherfordium,palladium,silver,boiler,tungsten,sheet metal,insulator,yttrium,bohrium,cast iron,nail,molybdenum,zirconium,tin,vanadium,hassium,beryllium,technetium,dubnium,hafnium]"
1383170,33,"[Q154869,Q189389,Q188151,Q183130,Q500816,Q221159,Q21146257,Q156103,Q844935,Q207367,Q190087,Q12152,Q16889133,Q44,Q223102,Q30953,Q261327,Q6473911,Q244438,Q389735,Q431289,Q176741,Q41861,Q815819,Q43987,Q483394,Q17155032,Q16483,Q82673,Q44727,Q132971,Q17516,Q223591]","[hepatitis C,aneurysm,ischemia,gastritis,polycystic ovary syndrome,schistosomiasis,type,gastroenteritis,coronary artery disease,Infectious mononucleosis,data type,myocardial infarction,class,beer,peritonitis,dengue fever,thrombosis,herpes simplex,prosopagnosia,cardiovascular disease,brand,mumps,arterial hypertension,atrial fibrillation,avian influenza,genre,software category,toxic diffuse goiter,conservation status,chickenpox,dyslexia,street art,gastroesophageal reflux disease]"
1384324,30,"[Q1390,Q43806,Q5113,Q7375,Q182209,Q201251,Q25522,Q44631,Q1360,Q1231177,Q148134,Q132390,Q131040,Q19159,Q25241,Q25222,Q174301,Q178235,Q130933,Q25441,Q180148,Q102778,Q123120,Q18960,Q124900,Q5194,Q178272,Q10908,Q22708,Q5182]","[insect,invertebrate,birds,Camelus,king penguin,peafowl,Annelida,Echinodermata,Arthropoda,ungulate,Bryozoa,gill,Placozoa,Tetrapoda,Vertebrata,Strigiformes,Hemichordata,Acanthocephala,Eurasian Eagle-owl,Cnidaria,Rotifera,Ctenophora,vulture,Porifera,Platyhelminthes,Tardigrada,Brachiopoda,Amphibia,Pterygota,Kinorhyncha]"
476635,30,"[Q38496,Q38698,Q144,Q81564,Q38726,Q42569,Q38686,Q17504,Q38280,Q39330,Q146,Q21102,Q38383,Q29013,Q29149,Q38904,Q653,Q2934,Q29099,Q134747,Q178559,Q21080,Q21206,Q5414,Q9394,Q39201,Q171953,Q38287,Q39093,Q38751]","[Boxer,Pug,dog,alpaca,Labrador retriever,Lama glama,Golden retriever,Dalmatian,German Shepherd dog,Yorkshire Terrier,house cat,beagle,Bulldog,Chow Chow,French Bulldog,poodle,Chihuahua,goat,dachshund,Bombyx mori,poultry,Afghan Hound,Alaskan Malamute,Great Dane,rabbit,pet,Numididae,Jack Russell Terrier,Rottweiler,Maltese]"
212026,29,"[Q59544,Q2065736,Q161439,Q220659,Q142714,Q4989906,Q45996,Q36649,Q187495,Q207241,Q180856,Q10833314,Q173773,Q43022,Q10876842,Q234138,Q152088,Q11634,Q212940,Q189594,Q213156,Q179010,Q122981,Q11629,Q170593,Q6661,Q156460,Q83207,Q28165]","[intangible cultural heritage,cultural property,jewelry,archaeological artifact,card game,monument,mysticism,visual arts,Baklava,applied arts,choreography,tennis player,kvass,Turkish coffee,Chinese cuisine,Japanese cuisine,French fries,art of sculpture,Islamic architecture,Islamic art,performance art,kebab,anagram,art of painting,collaging,French cuisine,degenerate art,crossword,cinnamon]"
1389887,29,"[Q706,Q4097,Q11369,Q11193,Q189522,Q181699,Q81163,Q11173,Q127920,Q725,Q186752,Q102742,Q131877,Q11158,Q146439,Q44424,Q1103,Q146243,Q9121,Q244150,Q252266,Q6714735,Q3299,Q867,Q43116,Q627,Q127950,Q688,Q103537]","[calcium,pion,molecule,base,quinine,carbonate,polymer,chemical compound,covalent bond,chromium,allergen,meson,natural rubber,acid,silicone,chemical bond,iodine,polystyrene,atom,ampicillin,elastomer,synthetic rubber,gluon,germanium,elementary particle,nitrogen,isomer,chlorine,antigen]"
19593,28,"[Q52371,Q215380,Q82723,Q13582652,Q318693,Q1650915,Q169534,Q4263842,Q6122670,Q179985,Q131062,Q183288,Q83164,Q1956113,Q133194,Q658255,Q781132,Q159766,Q11774202,Q7940086,Q41674,Q6430706,Q6382533,Q61883,Q47805,Q3055126,Q153324,Q102356]","[regiment,musical group,geisha,civil engineer,Collective Security Treaty Organization,researcher,military division,literary critic,Māori,actuary,urban planner,National Olympic Committee,East India Company,parent company,Kamikaze,subsidiary,military branch,Dutch East India Company,essayist,volcanologist,webmaster,critic,battalion,air force,Cossack,entomologist,Condor Legion,brigade]"
66020,27,"[Q80071,Q11476,Q11475,Q37547,Q18334,Q11372,Q104499,Q41217,Q11397,Q151885,Q156495,Q82811,Q338,Q7100,Q413,Q18362,Q7877,Q4162444,Q944,Q1129469,Q18366,Q11473,Q750955,Q243545,Q483666,Q169019,Q188715]","[symbol,kinematics,vacuum,astrophysics,particle physics,physical chemistry,planetary science,mechanics,classical mechanics,concept,mathematical physics,acoustics,cosmology,biophysics,physics,theoretical physics,electrochemistry,branch of physics,quantum mechanics,expansion of the Universe,experimental physics,thermodynamics,radiochemistry,nuclear chemistry,spectroscopy,statics,statistical mechanics]"
1424727,27,"[Q12128,Q40821,Q771035,Q245341,Q188504,Q11180,Q10379,Q162606,Q120569,Q11190,Q103824,Q327657,Q132325,Q1498222,Q204368,Q83042,Q101929,Q200253,Q133981,Q77604,Q214963,Q81058,Q3286546,Q123028,Q7208,Q840545,Q2861470]","[dentistry,surgery,traditional medicine,radiography,alternative medicine,internal medicine,cardiology,endocrinology,gastroenterology,medicine,hematology,rheumatology,Ayurveda,vascular surgery,qigong,neurology,immunology,traditional Chinese medicine,first aid,radiology,nuclear medicine,homeopathy,respiratory disease,pediatrics,pathology,sports medicine,emergency medicine]"
1384526,27,"[Q1216998,Q133212,Q224156,Q727096,Q47790,Q18123741,Q309067,Q81867,Q178190,Q12136,Q939364,Q181876,Q207133,Q33525,Q200779,Q194041,Q12147,Q182672,Q213098,Q1328805,Q382370,Q185963,Q371520,Q12078,Q167178,Q649558,Q558077]","[neoplasm,tumor,hikikomori,congenital disorder,tetanus,infectious disease,motion sickness,albinism,obsessive-compulsive disorder,disease,congenital heart disease,metastasis,Klinefelter's syndrome,carcinoma,genetic disease,phenylketonuria,health,zoonosis,progeria,bone neoplasm,mpox,neutral country,polydactyly,cancer,scabies,Chagas disease,Williams-Beuren syndrome]"
526676,27,"[Q160464,Q190408,Q746549,Q139106,Q1799072,Q131123,Q2424752,Q206063,Q170050,Q192627,Q898987,Q271588,Q221681,Q6206,Q830036,Q101761,Q188889,Q185098,Q192808,Q791801,Q131765,Q183129,Q8353,Q196113,Q190873,Q1076968,Q188419]","[button,offset printing,dish,engraving process,method,air pollution,product,Enûma Eliš,chromatography,mimicry,separation process,printmaking,in vitro experiment,capitalism,shopping,zipper,code,electrophoresis,twisted pair,estimation,multimedia,water pollution,paper clip,camouflage,desalination,digital media,life expectancy]"
182880,27,"[Q189977,Q211872,Q326859,Q275665,Q167541,Q428303,Q44763,Q202699,Q319831,Q210836,Q102507,Q223050,Q209380,Q220875,Q182994,Q245252,Q840925,Q485568,Q218555,Q239738,Q182165,Q50686,Q219586,Q384531,Q318480,Q353659,Q308798]","[family tree,Stanley Cup,Azerbaijan Premier League,A Lyga,Eredivisie,Chess Olympiad,Ekstraklasa,Swiss Super League,economy of Japan,Besta deild karla,CAS Registry Number,statelessness,economy of the People's Republic of China,Veikkausliiga,Liga Portugal,Luxembourg National Division,economy of Canada,Turkish Süper Lig,Welsh Premier League,Meistriliiga,Russian Premier League,single-party system,A-League Men,Moldovan National Division,Maltese Premier League,call sign,Latvian Higher League]"
583891,27,"[Q192130,Q7239,Q193204,Q44148,Q19088,Q22676,Q421,Q43445,Q115940,Q303479,Q182726,Q25367,Q131704,Q192411,Q2625603,Q194302,Q44416,Q170173,Q80994,Q200433,Q107994,Q19081,Q10892,Q1380,Q199182,Q37501,Q6497446]","[horseshoe,organism,pyjamas,male organism,eukaryote,shoe,unidentified flying object,female organism,seaplane,hermaphrodite,GMO,plankton,sandal,handkerchief,population,clutch,necktie,yacht,adult,raft,vector,prokaryotes,protist,Capsicum annuum,ornamental plant,eyeglasses,veil]"
460218,26,"[Q44753,Q852446,Q170143,Q15089,Q7688,Q483110,Q188063,Q6465,Q46395,Q747074,Q106658,Q665487,Q272051,Q149621,Q194203,Q16110,Q23058,Q162620,Q191093,Q41691,Q38911,Q129558,Q717478,Q5398059,Q36784,Q45776]","[province of Argentina,administrative territorial entity of the United States,Banat,province of Italy,raion,stadium,fiefdom,department of France,British overseas territories,comune of Italy,district of Germany,diocese,tax haven,district,arrondissement of France,region of Italy,cantons of Switzerland,province of Spain,province of South Africa,demilitarized zone,region of the Czech Republic,ocean current,administrative territorial entity of the United Kingdom,Indian reservation of the United States,region of France,fjord]"
1427691,26,"[Q1234713,Q3391743,Q33231,Q7358,Q5482740,Q5322166,Q1925963,Q1162163,Q627325,Q1053574,Q593644,Q1281618,Q1028181,Q7541856,Q37349,Q484876,Q6501749,Q706364,Q173950,Q6859454,Q856887,Q1198887,Q183888,Q133485,Q217713,Q851436]","[theologian,visual artist,photographer,clown,programmer,designer,graphic artist,director,graphic designer,executive producer,chemist,sculptor,painter,ceramicist,Dalai Lama,chief executive officer,general secretary,art director,art dealer,web developer,security guard,music director,software developer,rabbi,chargé d'affaires,bodyguard]"
1389767,26,"[Q19557,Q660,Q925,Q1094,Q101843,Q877,Q568,Q1091,Q671,Q1278,Q39782,Q1108,Q178032,Q658,Q895,Q106844,Q861,Q703,Q758,Q1139,Q1086,Q34095,Q10693,Q708,Q751,Q880]","[alkali metal,magnesium,mercury,indium,period,iridium,lithium,cadmium,francium,copernicium,brass,caesium,electromagnet,sodium,rubidium,transuranium element,gallium,potassium,zinc,ununennium,ruthenium,bronze,periodic table,lead,osmium,platinum]"
543545,26,"[Q486972,Q124714,Q811430,Q1107656,Q31855,Q42523,Q746628,Q25550691,Q9259,Q167346,Q9430,Q33837,Q618123,Q376799,Q101687,Q12284,Q170552,Q245016,Q5107,Q215635,Q385557,Q656720,Q190928,Q924286,Q755017,Q183389]","[human settlement,spring,human-made geographic feature,garden,research institute,atoll,studio,town hall,UNESCO World Heritage Site,botanical garden,ocean,archipelago,geographical feature,transport infrastructure,altar,canal,balcony,military base,continent,breakwater,slaughterhouse,workshop,shipyard,transport network,tell,coaxial cable]"
615229,26,"[Q179651,Q959790,Q2484376,Q7889,Q1257444,Q93204,Q109940,Q189201,Q860626,Q9734,Q130232,Q1054574,Q20899,Q219557,Q2297927,Q1200678,Q174873,Q188473,Q20350,Q13323,Q842256,Q79218,Q319221,Q1268687,Q1135802,Q336144]","[scale,crime film,thriller film,video game,film adaptation,documentary film,duet,chamber music,romantic comedy,symphony,drama film,romance film,podcasting,cult film,spy film,mystery film,cantata,action film,moai,rondo,musical film,triptych,adventure film,lost film,art film,anthology film]"
1390843,25,"[Q1489259,Q27443,Q46118,Q215627,Q107427,Q859528,Q838948,Q7748,Q28406836,Q3010,Q42008,Q484472,Q222249,Q46158,Q1387659,Q146491,Q483047,Q8432,Q4667873,Q657326,Q202648,Q188462,Q856251,Q1459658,Q35323]","[superpower,hunter-gatherer,Uyghur,person,Halakha,association football referee,work of art,law,video assistant referee,boy,sovereignty,Turkmens,civil law,humanism,school of thought,criminal law,Ozbek,civilization,prisoner of conscience,estates of the realm,referee,canon law,tax law,Viktor Yanukovych,Arabs]"
1244228,25,"[Q2285706,Q14212,Q838380,Q207978,Q381136,Q1758037,Q1145714,Q20026619,Q30461,Q42178,Q83307,Q6296418,Q26718,Q43263,Q171692,Q50337,Q131767,Q49476,Q179637,Q217105,Q740126,Q218295,Q30185,Q205178,Q193391]","[head of government,prime minister,President of Iran,consul,shareholder,speaker,Prime Minister of Ukraine,USB-C,president,vice president,minister,President of South Korea,Continental Congress,federal subject of Russia,patriarch,prefecture of Japan,shogun,archbishop,prisoner of war,political prisoner,President of the European Parliament,President of Russia,mayor,child prodigy,diplomat]"
621684,24,"[Q38695,Q37930,Q192786,Q4551,Q1778821,Q11756,Q11635,Q9134,Q465299,Q192087,Q735,Q386724,Q184485,Q152311,Q42470,Q638,Q188518,Q17514,Q210272,Q149010,Q4865573,Q209815,Q171141,Q328709]","[cooking,postage stamp,Italian cuisine,borscht,cuisine,prehistory,theatre,mythology,archaeological culture,Indian cuisine,art,work,performing arts,naturism,motto,music,horoscope,graffiti,cultural heritage,trilogy,roasting,oral tradition,gastronomy,tempura]"
249623,24,"[Q1841,Q483654,Q183091,Q9268,Q5043,Q168414,Q43290,Q432,Q23540,Q165580,Q152361,Q34651,Q47280,Q22679,Q93191,Q82708,Q1859,Q204128,Q3465,Q9603,Q35269,Q243551,Q188907,Q842798]","[Catholicism,Sunni Islam,Monophysitism,Judaism,Christianity,Nestorianism,Talmud,Islam,Protestantism,anabaptism,ITIL,Christian Church,Abrahamic religion,Baháʼí Faith,Baptists,Church of England,True Jesus Church,Bábism,jinn,Sufism,Jehovah's Witnesses,Ibadi Islam,etiquette,Western Christianity]"
1385083,23,"[Q4164871,Q1607826,Q11416,Q184872,Q215279,Q47728,Q1639825,Q14208553,Q210150,Q36963,Q16533,Q12014035,Q180910,Q40348,Q455550,Q6958747,Q28640,Q1930187,Q211011,Q12737077,Q14373,Q26384,Q3501317]","[position,editor,gambling,recreation,freelancer,hobby,blacksmith,invention,hanami,hunting,judge,hiking,leisure,lawyer,camping,work,profession,journalist,falconry,occupation,fishing,do it yourself,fashion designer]"
1384183,23,"[Q5891,Q128593,Q147638,Q170084,Q200726,Q276183,Q33378,Q194294,Q173324,Q484761,Q209295,Q35986,Q9465,Q126692,Q376022,Q9471,Q9598,Q192292,Q23407,Q170537,Q157512,Q179235,Q59104]","[philosophy,reincarnation,cognitive science,generalization,probability distribution,theodicy,Zeno's paradoxes,bioethics,Samsara,philosophy of language,philosophy of religion,aesthetics,ethics,pragmatism,Indian philosophy,epistemology,Taoism,medieval philosophy,philosophy of mind,feng shui,engagement,phenomenology,continental philosophy]"
81188,23,"[Q48444,Q95074,Q9601,Q178149,Q177413,Q216893,Q15711870,Q4271324,Q162244,Q15773317,Q178342,Q103585,Q45529,Q66016,Q825,Q104493,Q235113,Q180287,Q44810,Q178885,Q290691,Q181508,Q15773347]","[phoenix,fictional character,Zoroastrianism,Bodhisattva,demon,poltergeist,animated character,mythical character,hero,television character,archangel,graviton,ghost,Muses,God in Christianity,risk,angel,Moirae,Bigfoot,deity,villain,extraterrestrial life,film character]"
248700,23,"[Q189290,Q80687,Q131512,Q4991371,Q42973,Q48352,Q182436,Q207651,Q703534,Q255274,Q201948,Q331432,Q204766,Q15978655,Q843926,Q1062083,Q848466,Q47064,Q12859263,Q2180295,Q45199,Q635734,Q17221]","[military officer,secretary,farmer,soldier,architect,head of state,librarian,executioner,employee,white-collar worker,sniper,fisher,Cataphract,consultant,child soldier,billionaire,courier,military personnel,orator,mail carrier,sailor,archivist,spokesperson]"
1385107,23,"[Q23387,Q575,Q14267,Q196627,Q57598,Q1445650,Q1197685,Q130,Q129,Q211391,Q573,Q128,Q42236,Q37081,Q132,Q131,Q131080,Q11184,Q127,Q94920,Q105,Q40317,Q11269]","[week,night,Julian day,New Year's Day,national day,holiday,public holiday,Friday,Thursday,weekend,day,Wednesday,Palm Sunday,children's day,Sunday,Saturday,Holy Week,Julian calendar,Tuesday,Jewish holiday,Monday,Good Friday,New Year's Eve]"
91519,22,"[Q173907,Q268547,Q41176,Q543654,Q3947,Q234852,Q180516,Q133215,Q183061,Q193010,Q200334,Q131295,Q48356,Q4817,Q693369,Q12518,Q831691,Q22706,Q12516,Q205495,Q181623,Q5783996]","[mihrab,roof tile,building,rathaus,house,basement,room,casino,façade,wind tunnel,bell tower,brothel,minaret,column,kiosk,tower,storey,vehicle registration plate,pyramid,filling station,warehouse,cottage]"
1493885,22,"[Q42501,Q231458,Q38423,Q76904,Q192795,Q128991,Q171076,Q93165,Q4739805,Q184624,Q170885,Q24489,Q22656,Q18537,Q202251,Q187689,Q181822,Q39558,Q40858,Q156267,Q167947,Q177463]","[combustible matter,palm oil,diesel,kerosene,coke,biofuel,biogas,olive oil,vegetable oil,peat,essential oil,coal,petroleum,biomass,asphalt,oxidizing agent,napalm,gasoline,natural gas,lignite,biodiesel,charcoal]"
1470278,22,"[Q18336,Q631286,Q47307,Q952080,Q185264,Q309,Q186083,Q235329,Q12562,Q181260,Q156312,Q3281534,Q1066186,Q200325,Q50641,Q185301,Q846742,Q201486,Q17524420,Q179957,Q149813,Q745799]","[heraldry,numismatics,genealogy,history of agriculture,history of mathematics,history,vexillology,history of Christianity,Reformation,epigraphy,history of Earth,modern history,study of history,human history,history of art,history of Egypt,history of religions,history of science,aspect of history,palaeography,history of Africa,Islamic Golden Age]"
1385714,22,"[Q160845,Q485762,Q80083,Q43091,Q382451,Q35395,Q8162,Q1725664,Q40998,Q63116,Q38311,Q178433,Q35245,Q181839,Q184524,Q39645,Q459381,Q82042,Q8091,Q190375,Q179161,Q128234]","[sociolinguistics,toponymy,humanities,orthography,narratology,phonetics,linguistics,terminology,phonology,numeral,morphology,lexicology,etymology,pragmatics,lexicography,semantics,literary theory,part of speech,grammar,historical linguistics,Russian literature,case]"
1367509,21,"[Q171058,Q424418,Q629,Q201928,Q979,Q170448,Q181559,Q422956,Q191831,Q206778,Q43010,Q1100,Q407426,Q5282,Q876,Q123314,Q155890,Q1473346,Q1304,Q682,Q79058]","[opal,nitrogen oxide,oxygen,amoxicillin,polonium,chalcedony,camphor,propionic acid,ammonium sulfate,sulfurous acid,quartz,tellurium,linoleic acid,sulfur dioxide,selenium,agate,heavy water,stained glass,livermorium,sulfur,amethyst]"
268392,21,"[Q17285,Q12132,Q3305213,Q355198,Q201721,Q161973,Q166154,Q1062856,Q83481,Q44946,Q17278,Q4130,Q40112,Q157002,Q124255,Q48297,Q214728,Q37105,Q226843,Q205892,Q201717]","[plane,calendar,painting,pixel,gravitational singularity,curve,line segment,anniversary,apsis,point,circle,orbit,ellipse,equilateral triangle,conic section,parabola,Bézier curve,line,Möbius strip,calendar date,helix]"
177463,21,"[Q40609,Q204606,Q11448,Q306786,Q8366,Q160329,Q185357,Q471702,Q133900,Q181593,Q238323,Q170519,Q232207,Q185005,Q101017,Q221616,Q172858,Q165074,Q188603,Q150971,Q180254]","[aurora polaris,cyberspace,radioactivity,beta decay,algorithm,convection,phase change,nucleosynthesis,diffraction,sorting algorithm,nuclear reaction,virtual reality,Monte Carlo method,continental climate,distillation,pyroclastic flow,resonance,parallax,capillary action,computer graphics,adsorption]"
1386946,21,"[Q3249551,Q12143,Q367293,Q529711,Q204520,Q187657,Q7242,Q171180,Q14819852,Q481609,Q11030,Q185049,Q160402,Q132364,Q165194,Q223642,Q739302,Q203920,Q180953,Q220868,Q188961]","[process,time zone,convention,beginning,terraforming,dubbing,beauty,taboo,birth,damage,journalism,geometric mean,perception,communication protocol,application programming interface,interpersonal relationship,production,manifold,metric space,SCSI,decentralization]"
171874,20,"[Q12184,Q7590,Q42767,Q3639228,Q123509,Q8187769,Q451967,Q765633,Q55814,Q49394,Q44602,Q3908516,Q656365,Q222749,Q132911,Q3565868,Q13156052,Q200303,Q174165,Q49703]","[pandemic,transport,whaling,chemical weapon,extinction,economic activity,intentional human activity,aviation,extinction event,weapon of mass destruction,fasting,entrepreneurship,employment,acting,elevator,rail transport,hyperloop,inheritance,innovation,sacrament]"
1386961,20,"[Q33289,Q33742,Q25355,Q192161,Q33776,Q47607,Q80839,Q34171,Q8097,Q33146,Q9228,Q33491,Q33199,Q49228,Q629206,Q9199,Q46441,Q9211,Q45961,Q23492]","[creole language,natural language,Greenlandic,formal language,Palauan,SQL,lingua franca,Kra–Dai,Telugu,Bantu,Burmese,Haitian Creole,Austroasiatic,Austronesian,computer language,Vietnamese,Cascading Style Sheets,Lao,Sino-Tibetan,official language]"
94513,20,"[Q79782,Q179226,Q61509,Q5916,Q131026,Q167987,Q11417,Q106500,Q4323994,Q177626,Q204043,Q53121,Q11651,Q3479346,Q120931,Q160603,Q6502154,Q516739,Q208607,Q8070]","[motion,equestrianism,travel,spaceflight,philately,Tai chi chuan,martial art,sambo,traffic,human migration,teleportation,cycling,electric current,wushu,Muay Thai,trade wind,exploration,road transport,kung fu,tsunami]"
1476799,20,"[Q168845,Q27521,Q318,Q5893,Q6243,Q662656,Q204107,Q11276,Q5875,Q26540,Q3937,Q190438,Q42372,Q11387,Q83373,Q207436,Q101600,Q13632,Q46587,Q5976]","[star cluster,supercluster,galaxy,red dwarf,variable star,pole star,galaxy cluster,globular cluster,giant star,artificial satellite,supernova,dwarf galaxy,nebula,open cluster,quasar,supernova remnant,brown dwarf,planetary nebula,active galactic nucleus,black dwarf]"
1385016,20,"[Q82821,Q192781,Q2207288,Q79852,Q237893,Q8445,Q235557,Q188451,Q208225,Q11862829,Q4671286,Q47928,Q211578,Q80993,Q146893,Q682496,Q170835,Q193627,Q186393,Q59115]","[tradition,military history,craft,ecliptic,film editing,marriage,file format,music genre,Pythagorean triple,academic discipline,academic major,circus,tanning,software engineering,dialectology,systems engineering,cosmogony,logical positivism,counterpoint,philosophy of science]"
1387728,20,"[Q164597,Q157811,Q182274,Q6235,Q166502,Q76074,Q1043096,Q189746,Q48324,Q15292,Q160637,Q60227,Q7257,Q182267,Q7169,Q852739,Q194236,Q637251,Q13189320,Q1414298]","[left-wing,virtue,irredentism,nationalism,seven deadly sins,right-wing,liberal conservatism,Islamism,morality,evil,New Left,sin,ideology,pan-slavism,conservatism,national conservatism,separatism,ethnic nationalism,justice,social conservatism]"
1385451,20,"[Q81915,Q560575,Q2329,Q4306,Q333,Q12453,Q411,Q188403,Q614304,Q7218,Q161764,Q11165,Q7094,Q2346,Q184274,Q11351,Q826582,Q394,Q181505,Q725361]","[allotropy,amateur astronomy,chemistry,radio astronomy,astronomy,measurement,astrobiology,quantum chemistry,pharmacy,toxicology,geochemistry,inorganic chemistry,biochemistry,analytical chemistry,celestial mechanics,organic chemistry,X-ray crystallography,metrology,astrometry,green chemistry]"
531944,19,"[Q872,Q46384,Q178648,Q183406,Q3574371,Q178947,Q209593,Q31087,Q581105,Q83913,Q5362345,Q82,Q173156,Q190411,Q175973,Q186819,Q11656,Q194154,Q593143]","[radio communications,microphone,peripheral,flip-flop,vacuum tube,operational amplifier,OLED,calculator,consumer electronics,cathode ray tube,smartwatch,printer,digital electronics,field-programmable gate array,thermistor,headphone,diode,cavity magnetron,power electronics]"
1477429,18,"[Q166376,Q187436,Q151900,Q83267,Q28813,Q132821,Q165950,Q184840,Q219407,Q214242,Q181784,Q459409,Q34577,Q366,Q160128,Q26553,Q318296,Q2727213]","[doping in sport,bribery,money laundering,crime,fraud,murder,espionage,smuggling,Ponzi scheme,pyramid scheme,human trafficking,hate crime,poaching,corruption,treason,child sexual abuse,kidnapping,theft]"
